07035222,23.391966,113.235421
07035220,23.391998,113.235465
07035218,23.392028,113.235516
07035216,23.392055,113.235565
07035214,23.392084,113.235616
07035212,23.392112,113.235666
07035210,23.392140,113.235718
07035208,23.392167,113.235767
07035206,23.392193,113.235821
07035204,23.392223,113.235868
07035202,23.392251,113.235917
07035200,23.392282,113.235966
07035198,23.392454,113.236262
07035196,23.392483,113.236315
07035194,23.392515,113.236363
07035192,23.392545,113.236411
07035190,23.392576,113.236458
07035188,23.392605,113.236507
07035186,23.392636,113.236557
07035184,23.392667,113.236604
07035182,23.392697,113.236651
07035180,23.392727,113.236701
07035178,23.392759,113.236749
07035176,23.392792,113.236795
07035174,23.392823,113.236842
07035172,23.392856,113.236888
07035170,23.392890,113.236935
07035168,23.392924,113.236982
07035166,23.392957,113.237028
07035164,23.392989,113.237075
07035162,23.393023,113.237120
07035160,23.393058,113.237165
07035158,23.393089,113.237213
07035156,23.393122,113.237261
07035154,23.393155,113.237307
07035152,23.393188,113.237354
07035150,23.393221,113.237401
07035148,23.393250,113.237450
07035146,23.393381,113.237624
07035144,23.393415,113.237669
07035142,23.393447,113.237715
07035140,23.393480,113.237762
07035138,23.393513,113.237809
07035136,23.393547,113.237855
07035134,23.393579,113.237901
07035132,23.393613,113.237947
07035130,23.393646,113.237993
07035128,23.393679,113.238041
07035126,23.393712,113.238088
07035124,23.393745,113.238134
07035122,23.393778,113.238180
07035120,23.393811,113.238227
07035118,23.393845,113.238274
07035116,23.393875,113.238321
07035114,23.393909,113.238367
07035112,23.393942,113.238413
07035110,23.393975,113.238460
07035108,23.394009,113.238506
07035106,23.394044,113.238550
07035104,23.394074,113.238599
07035102,23.394108,113.238645
07035100,23.394140,113.238691
07035098,23.394173,113.238739
07035096,23.394205,113.238784
07035094,23.394233,113.238836
07035092,23.394376,113.239019
07035090,23.394408,113.239065
07035088,23.394441,113.239112
07035086,23.394476,113.239158
07035084,23.394509,113.239204
07035082,23.394541,113.239250
07035080,23.394575,113.239297
07035078,23.394609,113.239342
07035076,23.394642,113.239389
07035074,23.394674,113.239437
07035072,23.394710,113.239486
07035070,23.394741,113.239529
07035068,23.394775,113.239574
07035066,23.394810,113.239620
07035064,23.394842,113.239665
07035062,23.394874,113.239714
07035060,23.394907,113.239761
07035058,23.394940,113.239807
07035056,23.394971,113.239853
07035054,23.395006,113.239899
07035052,23.395038,113.239946
07035050,23.395071,113.239992
07035048,23.395105,113.240039
07035046,23.395138,113.240085
07035044,23.395172,113.240131
07035042,23.395205,113.240177
07035040,23.395238,113.240225
07035038,23.395274,113.240270
07035036,23.395307,113.240316
07035034,23.395339,113.240363
07035032,23.395371,113.240411
07035030,23.395404,113.240457
07035028,23.395436,113.240503
07035026,23.395469,113.240550
07035024,23.395501,113.240596
07035022,23.395534,113.240641
07035020,23.395568,113.240689
07035018,23.395599,113.240736
07035016,23.395635,113.240782
07035014,23.395669,113.240827
07035012,23.395701,113.240876
07035010,23.395732,113.240923
07035008,23.395768,113.240968
07035006,23.395799,113.241016
07035004,23.395832,113.241064
07035002,23.395863,113.241109
07035173,23.395579,113.240838
07035171,23.395545,113.240791
07035169,23.395513,113.240744
07035167,23.395480,113.240697
07035165,23.395446,113.240652
07035163,23.395413,113.240606
07035161,23.395381,113.240559
07035159,23.395347,113.240513
07035157,23.395313,113.240467
07035155,23.395280,113.240421
07035153,23.395248,113.240373
07035151,23.395215,113.240327
07035149,23.395181,113.240281
07035147,23.395148,113.240234
07035145,23.395114,113.240187
07035143,23.395082,113.240141
07035141,23.395049,113.240095
07035139,23.395016,113.240047
07035137,23.394982,113.240001
07035135,23.394949,113.239955
07035133,23.394916,113.239908
07035131,23.394884,113.239863
07035129,23.394851,113.239814
07035127,23.394818,113.239769
07035125,23.394786,113.239722
07035123,23.394752,113.239677
07035121,23.394719,113.239632
07035119,23.394685,113.239585
07035117,23.394652,113.239538
07035115,23.394621,113.239490
07035113,23.394587,113.239443
07035111,23.394554,113.239397
07035109,23.394520,113.239351
07035107,23.394486,113.239306
07035105,23.394455,113.239260
07035103,23.394418,113.239210
07035101,23.394387,113.239167
07035099,23.394355,113.239120
07035097,23.394322,113.239070
07035095,23.394289,113.239027
07035093,23.394016,113.238643
07035091,23.393983,113.238597
07035089,23.393948,113.238550
07035087,23.393914,113.238505
07035085,23.393883,113.238459
07035083,23.393850,113.238414
07035081,23.393816,113.238368
07035079,23.393782,113.238321
07035077,23.393749,113.238274
07035075,23.393716,113.238227
07035073,23.393684,113.238181
07035071,23.393650,113.238134
07035069,23.393617,113.238088
07035067,23.393583,113.238043
07035065,23.393550,113.237996
07035063,23.393518,113.237949
07035061,23.393484,113.237904
07035059,23.393452,113.237858
07035057,23.393419,113.237809
07035055,23.393385,113.237763
07035053,23.393353,113.237716
07035051,23.393320,113.237667
07035049,23.393287,113.237624
07035047,23.393060,113.237306
07035045,23.393026,113.237260
07035043,23.392993,113.237214
07035041,23.392959,113.237166
07035039,23.392926,113.237120
07035037,23.392893,113.237074
